;Локальная тема;Описание
238;Несоблюдение требований к размещению информационных вывесок;Электронный носитель в виде рекламы на двери.
239;Несоблюдение требований к размещению информационных вывесок;Реклама в виде растяжки на фасаде здания.
240;Незаконная установка рекламной конструкции;
241;Незаконная установка рекламной конструкции;Реклама в виде штендеров и треног.
242;Несоблюдение требований к размещению информационных вывесок;Отдельно стоящая информационная конструкция и информационная конструкция, расположенная выше линии второго этажа (п. 10.2 902-ПП)
243;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
244;Незаконная установка рекламной конструкции;Вопреки многочисленным заверениям о демонтаже не законной самодельной рекламной конструкции, она стоит на прежнем месте. 
245;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
246;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
247;Несоблюдение требований к размещению информационных вывесок;Прейскурант в виде рекламы в окне.
248;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама.
249;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама
250;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
251;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
252;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
253;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
254;Несоблюдение требований к размещению информационных вывесок;Нарушение 902-ПП
255;Незаконная установка рекламной конструкции;Незаконная рекламная вывеска. 
256;Несоблюдение требований к размещению информационных вывесок;нарушение 902 ПП
